PaperID,CatID,CatID2,CatID3,CatID4,CatID_gen,Authors,Title,Location,PublicationType,PublishedDateMonth,PublishedDateYear,PDFLink,LocalPDFLink,PSLink,Abstract,RegisterDate,sortOrder,ProjectLink,OtherAuthors
6,2,5,2,2,NULL,"Z. Yu, C. Bajaj",Detecting Circular and Rectangular Particles Based on Geometric Feature Detection in Electron Micrographs,"Journal of Structural Biology, Volume 145, 2004, Pages 168-180, <a href=http://dx.doi.org/10.1016/j.jsb.2003.10.027>doi: 10.1016/j.jsb.2003.10.027</a>, <a href=http://tinyurl.com/PMID15065684>PMID15065684</a>, PMC Journal In Process.",Journal Publications,0,2004,,http://cvcweb.ices.utexas.edu/cvc/papers/2004/journal/sdarticle02.pdf,,,7/11/2012 16:28,1000,,(with Z. Yu)
418,6,3,8,NULL,NULL,"C. Bajaj, A. Favata and P. P. Guidugli","On a Nanoscopically-Informed Shell Theory of Single-Wall Carbon Nanotubes ","European Journal of Mechanics - A/Solids, 42, 137-157, 2013",Journal Publications,NULL,2013,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/Carbo_Nano_EJM.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/Carbo_Nano_EJM.pdf,NULL,NULL,6/16/2014 10:04,1000,NULL,NULL
414,2,6,NULL,NULL,NULL,"Y. Hashem , A. Georges , J. Fu , S. Buss , F. Jossinet , A. Jobe , Q. Zhang , H. Liao , R. Grassucci , C. Bajaj , E. Westhof , S. Madison-Antenucci, J. Frank",High-resolution cryo-EM structure of the unique Trypanosoma brucei 80S ribosome,"Nature, 494, 385-391, 2013, <a href=""http://www.nature.com/nature/journal/vaop/ncurrent/full/nature11872.html"">doi:10.1038/nature11872</a>, ",Journal Publications,2,2013,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/Hashem-manuscript-Nature-HR.pdf,"http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/Hashem-manuscript-Nature-HR.pdf
",NULL,,10/20/2014 11:23,1000,NULL,NULL
415,6,3,NULL,NULL,NULL,A. Rand; A. Gillette; C. Bajaj,Quadratic Serendipity Finite Elements on Polygons using Generalized Barycentric Coordinates,"Mathematics for Computation,83, 2691-2716, (2014). <a href=""http://www.ams.org/journals/mcom/2014-83-290/S0025-5718-2014-02807-X/"">online version</a>, 2014",Journal Publications,2,2014,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/barycentricSerendipity-revised-Feb2013.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/barycentricSerendipity-revised-Feb2013.pdf,NULL,NULL,10/9/2014 11:13,1000,NULL,NULL
7,4,8,4,4,NULL,"Y. Shin, C. Bajaj",Auralization I: Vortex Sound Synthesis,"Proceedings of Symposium on Visualization, Joint Eurographics - IEEE TCVG, VisSym 2004, Symposium on Visualization, pp. 193-200, Konstanz, Germany, May 19-21, 2004. Eurographics Association 2004, ISBN 3-905673-07-X.",Conference Presentations & Publications,0,2004,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/auralization-synthesis_2004.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/VisSym04.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/VisSym04.ps,"Auralization is the process of extracting and displaying meaningful
   information in the form of sound from data. Through not only
   visualization but also auralization, users may achieve better
   understanding of the data, especially when multiple variables are
   visualized simultaneously. The main objective of this paper is to
   synthesize sound from 3D time-varying multivariable field data with
   distributed ""turbulent"" spots. Our technique takes a hybrid approach
   between parameter mapping and direct simulation. During preprocessing,
   acoustic strengths are computed at each spatial points at each time
   step. During interaction, users navigate within the volume space and
   audio frames are computed by integrating the acoustic radiations from
   the sound sources. A number of problems inherent in auralization and
   our solutions are discussed.",10/17/2012 9:33,900,,(with Y. Shin)
8,5,5,5,5,NULL,"Z. Yu, C. Bajaj",A Fast and Adaptive Algorithm for Image Contrast Enhancement,"Proceedings of 2004 IEEE International Conference on Image Processing (ICIP'04), Volume 2,  Oct. 24-27 2004, Pages 1001-1004, Singapore.",Conference Presentations & Publications,0,2004,http://ieeexplore.ieee.org/iel5/9716/30677/01419470.pdf?isnumber=30677&prod=CNF&arnumber=1419470&arSt=+1001&ared=+1004+Vol.2&arAuthor=Yu%2C+Z.%3B+Chandrajit+Bajaj,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/01419470.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/VisSym04.ps,"Abstract: In this paper we describe a fast approach for image contrast
enhancement, based on localized contrast manipulation. Our approach is not
only fast and easy to implement, but also has several other promising
properties (adaptive, multiscale, weighted localization, etc.). We will
also discuss in this paper an anisotropic version of our approach. Several
examples of medical images, including brain MR images, chest CT images and
mammography images, will be provided to demonstrate the performance of our
approach.",12/4/2006 11:28,900,NULL,(with Z. Yu)
9,5,8,5,5,NULL,"Z. Yu, C. Bajaj",A Segmentation-Free Approach for Skeletonization of Gray-Scale Images via Anisotropic Vector Diffusion,"Proceedings of 2004 IEEE International Conference on Computer Vision and Pattern Recognition (CVPR'04), Volume 1, Pages 415-420, Washington, DC.",Conference Presentations & Publications,0,2004,http://ieeexplore.ieee.org/iel5/9183/29133/01315062.pdf?isnumber=29133&prod=CNF&arnumber=1315062&arSt=+I-415&ared=+I-420+Vol.1&arAuthor=Zeyun+Yu%3B+Chandrajit+Bajaj,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/01315062.pdf,,"Abstract: In this paper we describe a method for skeletonization of
gray-scale images without segmentation. Our method is based on anisotropic
vector diffusion. The skeleton strength map, calculated from the diffused
vector field, provides us a measure of how possible each pixel could be on
the skeletons. The final skeletons are traced from the skeleton strength
map, which mimics the behavior of edge detection from the edge strength
map of the original image. A couple of real or synthesized images will be
shown to demonstrate the performance of our algorithm.",12/4/2006 11:28,900,NULL,(with Z. Yu)
10,1,6,1,1,NULL,"Y. Zhang, C. Bajaj",Adaptive and Quality Quadrilateral/Hexahedral Meshing from Volumetric Imaging Data,"In Proceedings of 13th International Meshing Roundtable, pp. 365-376. Willamsburg, VA. September 19-22, 2004.",Conference Presentations & Publications,0,2004,http://www.imr.sandia.gov/papers/imr13/zhang.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/conference/zhang.pdf,,,12/4/2006 15:06,900,NULL,(with Y. Zhang)
12,5,5,5,5,NULL,"Z. Yu, C. Bajaj",Visualization of Icosahedral Virus Structures from Reconstructed Volumetric Maps,"Technical Report TR-04-10, Department of Computer Sciences, The University of Texas at Austin, April 9, 2004.",Technical Reports,0,2004,http://cvcweb.ices.utexas.edu/cvc/papers/2004/techreports/TR04-10.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/techreports/TR04-10.pdf,,"Zeyun Yu and Chandrajit Bajaj, ""Visualization of Icosahedral Virus
Structures from Reconstructed Volumetric Maps"", The University of Texas at
Austin, Department of Computer Sciences, Technical Report TR-04-10, April
9, 2004.

Abstract:
In this paper we present an automatic algorithm to segment the
asymmetric subunits of an icosahedral density map. This approach
is readily applicable to the structural analysis of a broad range
of macromolecular structures that are reconstructed using the
cryo-electron microscopy (cryoEM) technique. Our algorithm
includes three major steps: the detection of critical points, the
detection of icosahedral symmetry axes, and the segmentation of
asymmetric subunits. The experiments on the real molecular density
maps reconstructed by cryoEM technique as well as the synthetic
maps calculated from the Protein Data Bank (PDB) demonstrate the
high-quality performance of our approach.",12/4/2006 15:09,800,NULL,(with Z. Yu)
13,1,1,1,1,NULL,"Y. Zhang, C. Bajaj",Finite Element Meshing for Cardiac Analysis,"ICES Technical Report 04-26, The University of Texas at Austin, 2004.",Technical Reports,0,2004,http://cvcweb.ices.utexas.edu/cvc/papers/2004/techreports/jessica_heart04.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2004/techreports/0426.pdf,,,12/4/2006 15:09,800,NULL,(with Y. Zhang)
302,1,6,1,1,NULL,C. Bajaj,A Laguerre Voronoi Based Scheme for Meshing Particle Systems,"Japan Journal of Industrial and Applied Mathematics, (JJIAM), vol. 22, No. 2, Pages 167-177, June 2005, <a href=http://dx.doi.org/10.1007/BF03167436>doi: 10.1007/BF03167436</a>, <a href=http://tinyurl.com/PMC2865151>PMCID: PMC2865151</a>. 
",Journal Publications,0,2005,,http://cvcweb.ices.utexas.edu/cvc/papers/2005/journal/meshing6.pdf,,,7/11/2012 16:18,1000,NULL,NULL
16,2,4,5,2,NULL,"C. Bajaj, Z. Yu, M. Auer",Volumetric Feature Extraction and Visualization of Tomographic Molecular Imaging,"Journal of Structural Biology, Volume 144, Issues 1-2, Oct. 2003, Pages 132-143, <a href=http://dx.doi.org/10.1016/j.jsb.2003.09.037>doi:10.1016/j.jsb.2003.09.037</a>, <a href=http://tinyurl.com/PMID14643216>PMID14643216</a>, PMC Journal In Process.",Journal Publications,0,2003,,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/sdarticle04.pdf,,,7/11/2012 16:37,1000,,"(with Z. Yu, M. Auer)"
411,2,8,6,6,NULL,"J. Kinney,  J. Spacek,  T. Bartol, C. Bajaj, K. Harris, T. Sejnowski",Extracellular sheets and tunnels modulate glutamate diffusion in hippocampal neuropil,"Journal of Comparative Neurology, 521(2):448-464, 2013, PMID: 22740128, <a href=""http://dx.doi.org/10.1002/cne.23181"">doi: 10.1002/cne.23181</a>, ",Journal Publications,2,2013,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/JCN_ecs_paper_jkinney_rev2.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/JCN_ecs_paper_jkinney_rev2.pdf,NULL,NULL,10/20/2014 11:23,1000,NULL,NULL
17,4,5,2,4,NULL,"W. Jiang, M. Baker, Q. Wu, C. Bajaj, W. Chiu",Applications of Bilateral Denoising Filter in Biological Electron Microscopy,"Journal of Structural Biology, Volume 144, Issues 1-2, October 2003, Pages 114-122, <a href=http://dx.doi.org/10.1016/j.jsb.2003.09.028>doi: 10.1016/j.jsb.2003.09.028</a>, <a href=http://tinyurl.com/PMID14643214>PMID14643214</a>, PMC Journal In Process.",Journal Publications,0,2003,,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/sdarticle02.pdf,,,7/11/2012 16:33,1000,,"(with W. Jiang, M. Baker, Q. Wu, W. Chiu)"
14,3,6,1,3,NULL,"C. Bajaj, G. Xu, R. Holt, A. Netravali",NURBS Approximation of A-splines and A-patches,"International Journal of Computational Geometry and Applications, 13, 5, (2003), 359-389.",Journal Publications,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/spp0.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/spp0.pdf,,,7/12/2012 10:33,1000,NULL,"(with G. Xu, R. Holt, A. Netravali)"
18,3,8,1,3,NULL,"C. Bajaj, G. Xu",Anisotropic Diffusion of Surfaces and Functions on Surfaces,"ACM Transactions on Graphics, 22, 1, (2003), 4-32, <a href=http://dx.doi.org/10.1145/588272.588276>doi: 10.1145/588272.588276</a>",Journal Publications,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/p4-l_bajaj.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/p4-l_bajaj.pdf,,,7/12/2012 10:32,1000,NULL,(with G. Xu)
19,2,4,6,6,NULL,"C. Bajaj, V. Pascucci, A. Shamir, R. Holt, A. Netravali",Dynamic Maintenance and Visualization of Molecular Surfaces,"Discrete Applied Mathematics 127 (2003). Pages 23-51, <a href=http://dx.doi.org/10.1016/S0166-218X(02)00283-4>doi: 10.1016/S0166-218X(02)00283-4</a>.",Journal Publications,0,2003,http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6TYW-4603VKV-1-C3&_cdi=5629&_user=108429&_orig=browse&_coverDate=04%2F01%2F2003&_sk=998729998&view=c&wchp=dGLbVzb-zSkWz&md5=2e54b47924087468ba65445ebfb8c87c&ie=/sdarticle.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/sdarticle03.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/1998/conference/jp-01-02-2.ps,"Dynamic Maintenance and Visualization of Molecular Surfaces 
C. Bajaj, V. Pascucci, R. Holt, A. Netravali 
Fourth issue in the special series of Discrete Applied Mathematics on Computational Molecular Biology, 2001 
Molecular surface computations are basic molecular modeling operations that are necessary in order to perform synthetic drug design. Computing and updating exact boundary representations of such molecular surfaces are critical steps that introduce for molecules the same geometric data structure used in the solid modeling community. In this paper we introduce efficient techniques for computing NURBS (non-uniform rational B-splines) boundary representations of molecular surfaces, providing also the option of trading accuracy of the representations for the efficiency of the computations, especially in a dynamic setting. In particular we discuss two main classes of updates: one that keeps the topology of the molecular configuration fixed, and the more complicated case where the topology may be updated continuously",7/10/2012 17:32,1000,NULL,"(with V. Pascucci, A. Shamir, R. Holt, A. Netravali)"
20,3,6,3,3,NULL,"G. Xu, C. Bajaj",Curvature Computations of 2-manifolds in R^k,"Journal of Computational Mathematics. vol. 21. no. 5. (2003), 681-688.",Journal Publications,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/curvature.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/curvature.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/journal/curvature.ps,,7/12/2012 11:32,1000,NULL,(with G. Xu)
21,5,5,5,5,NULL,"Z. Yu, C. Bajaj",A clustering-based method for particle detection in electron micrographs,"Proceedings of the 5th International Conference on Advances in Pattern Recognition(ICAPR'03), pp. 137-140, Calcutta, India, December 2003.",Conference Presentations & Publications,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/conference/ICAPR03.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/conference/ICAPR03.pdf,,"Abstract: Accurate and automatic particle detection (or picking) from
cryo-electron microscopy (cryo-EM) images is very important for fast and
correct reconstruction of macromolecular structures. In this paper, we
present a new algorithm for particle picking, based on a natural model of
data clustering. This approach is fully automatic and has been
successfully applied to detect the particles from cryo-EM images with very
low signal-to-noise ratio (SNR).",12/4/2006 15:09,900,NULL,(with Z. Yu)
22,1,6,1,1,NULL,"Y. Zhang, C. Bajaj, B. Sohn",Adaptive and Quality 3D Meshing from Imaging Data,"Proceedings of 8th ACM Symposium on Solid Modeling and Applications. Pages 286-291. Seattle, WA. June 16-20, 2003.",Conference Presentations & Publications,0,2003,http://portal.acm.org/ft_gateway.cfm?id=781653&type=pdf&coll=Portal&dl=ACM&CFID=71886883&CFTOKEN=43968473,http://cvcweb.ices.utexas.edu/cvc/papers/2003/conference/p286-zhang.pdf,,"Y. Zhang, C. Bajaj, B.-S. Sohn
Adaptive and Quality 3D Meshing from Imaging Data

This paper presents an algorithm to extract adaptive and quality
3D meshes directly from volumetric imaging data. The extracted
tetrahedral and hexahedral meshes are extensively used in the
Finite Element Method (FEM). A top-down octree subdivision coupled
with the dual contouring method is used to rapidly extract
adaptive 3D finite element meshes with correct topology from
volumetric imaging data. The edge contraction and smoothing method
is used to improve the quality of the extracted meshes. The main
contribution is extending the dual contouring method to crack-free
interval volume 3D meshing with feature sensitive adaptation.
Compared to other tetrahedral extraction methods from imaging
data, our method generates high quality adaptive 3D meshes without
introducing any hanging nodes. Our algorithm has already been
applied successfully to constructing the geometric model of the
molecule (mAChE) in solving the diffusion problem using FEM.",12/4/2006 15:09,900,NULL,"(with Y. Zhang, B. Sohn)"
23,4,4,4,4,NULL,"C. Bajaj, S. Khandelwal, J Moore, V. Siddavanahalli",Interactive Poster: Interactive Symbolic Visualization of Semi-automatic Theorem Proving,"IEEE Symposium on Information Visualization 2003. Seattle, WA.",Conference Presentations & Publications,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/conference/symbvis.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/conference/symbvis.pdf,,,12/4/2006 14:45,900,NULL,"(with S. Khandelwal, J Moore, V. Siddavanahalli)"
24,5,5,5,5,NULL,"B. Sohn, C. Bajaj",Time-Varying Contour Topology,"Technical Report TR-03-61, Department of Computer Sciences, The University of Texas at Austin, December 12, 2003.",Technical Reports,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/tr03-61.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/tr03-61.pdf,,,12/4/2006 14:02,800,NULL,(with B. Sohn)
25,5,5,5,5,NULL,"C. Bajaj, Q. Wu, G. Xu",Level-set Based Volumetric Anisotropic Diffusion for 3D Image Denoising,"ICES Technical Report 03-10, The University of Texas at Austin, 2003.",Technical Reports,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/lspaper.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/lspaper.pdf,,,12/4/2006 14:43,800,NULL,"(with Q. Wu, G. Xu)"
26,5,5,5,5,NULL,"Z. Yu, C. Bajaj",A Geometric Feature Detection Approach to Particle Picking in Electron Micrographs,"Technical Report TR-03-30, Department of Computer Sciences, The University of Texas at Austin, July 28, 2003.",Technical Reports,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/ptc-pick.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/ptc-pick.pdf,,,12/4/2006 15:09,800,NULL,(with Z. Yu)
27,3,3,3,3,NULL,"G. Xu, Q. Pan, C. Bajaj",Discrete Surface Modeling Using Geometric Flows,"Technical Report TR-03-36, Department of Computer Sciences, The University of Texas at Austin, August 17, 2003.",Technical Reports,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/tog-gpde-xubajaj.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/tog-gpde-xubajaj.pdf,,,12/4/2006 14:55,800,NULL,"(with G. Xu, Q. Pan)"
28,4,4,4,4,NULL,"C. Bajaj, S. Khandelwal, J Moore, V. Siddavanahalli",Interactive Symbolic Visualization of Semi-automatic Theorem Proving,"Technical Report TR-03-37, Department of Computer Sciences, The University of Texas at Austin, August 2003.",Technical Reports,0,2003,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/bajaj-symbolic-vis.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2003/techreports/bajaj-symbolic-vis.pdf,,,12/4/2006 14:45,800,NULL,"(with S. Khandelwal, J Moore, V. Siddavanahalli)"
29,3,1,3,3,NULL,"C. Bajaj, G. Xu, R. Holt, A. Netravali",Hierarchical Multiresolution Reconstruction of Shell Surfaces,"Computer Aided Geometric Design, 19:2(2002), 89-112, 2002, <a href=""	 http://dx.doi.org/10.1016/S0167-8396(01)00073-5"">doi: 10.1016/S0167-8396(01)00073-5</a>.",Journal Publications,0,2002,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/sdarticle.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/sdarticle.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/report.ps,,7/12/2012 10:35,1000,NULL,"(with G. Xu, R. Holt, A. Netravali)"
30,3,6,1,3,NULL,"G. Xu, C. Bajaj, S. Evans",C1 Modeling with Hybrid Multiple-sided A-patches,"Special issue on Surface and Volume Reconstructions in the International Journal of Foundations of Computer Science, 13, 2, (2002), 261-284.",Journal Publications,0,2002,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/345side.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/345side.pdf,,,7/12/2012 10:27,1000,,"(with G. Xu, S. Evans)"
31,1,3,6,3,NULL,"C. Bajaj, S. Schaefer, J. Warren, G. Xu",A Subdivision Scheme for Hexahedral Meshes,"The Visual Computer, Vol. 18. Numbers 5-6. Pages 343-356. August 2002, <a href=""	 http://dx.doi.org/10.1007/s003710100150"">doi: 10.1007/s003710100150</a>.",Journal Publications,0,2002,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/hexahedral.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/journal/hexahedral.pdf,,,7/12/2012 10:34,1000,NULL,"(with S. Schaefer, J. Warren, G. Xu)"
32,3,4,8,3,NULL,"C. Bajaj, G. Xu, J. Warren",Acoustics Scattering on Arbitrary Manifold Surfaces,"Geometric Modeling and Processing, Theory and Application 2002, Japan, Pages 73-82.",Conference Presentations & Publications,0,2002,http://cvcweb.ices.utexas.edu/cvc/papers/2002/conference/acoustic-scattering-Xu-2002.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/conference/01027498.pdf,,We propose the use of surfac esubdivision as adaptive and higher-order boundary elements for solving a Helmholtz partial differential equation to calculate accurate acoustics scattering on arbitrary manifolds. Such acoustic transfer functions prove useful for designing and tuning hearing aid devices for hearing impaired individuals. The number of unknowns of the discretized linear system is the same as that in a linear element approach. Our results show that the accuracy of the subdivision approach is much better than that of the line ar element approach.,10/17/2012 9:35,900,NULL,"(with G. Xu, J. Warren)"
33,4,4,4,4,NULL,"X. Zhang, C. Bajaj, V. Ramachandran",Parallel and Out-of-core View-dependent Isocontour Visualization Using Random Data Distribution,"Joint Eurographics-IEEE TCVG Symposium on Visualization 2002, Pages 9-18.",Conference Presentations & Publications,0,2002,http://www.eg.org/EG/DL/WS/VisSym02/009-018.pdf.abstract.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2002/conference/009-018.pdf.abstract.pdf,,,12/4/2006 15:06,900,NULL,"(with X. Zhang, V. Ramachandran)"
